i j S OS WN ST sp hpcd hpcdp ppcd ppcdp
Akmolinsk Ural Valley 0.441176470588235 0.424242424242424 0.772455089820359 0.348212665577935 1790.07639168665 0.640947918367066 1.69400945697345 0.93709559440093 1.62688937584044
Akmolinsk Volga-Kama 0.403846153846154 0.51937984496124 0.807453416149068 0.288073571187828 1878.17976671979 0.482732536249063 1.1896763827229 0.502802348534546 0.946104148145854
Akmolinsk Western Sayan 0.703703703703704 0.6 0.940886699507389 0.340886699507389 2878.91651642744 0.964106562983291 1.13732010286531 0.708875927719135 0.91553817809579
Altai Amur 0.796610169491526 0.555555555555556 0.975 0.419444444444445 4799.86703762876 0.951887266287724 1.10580364064255 0.629580206354678 0.738605071357561
Altai Amur-Bureya 0.846153846153846 0.5 0.987421383647799 0.487421383647799 5687.85145904345 1.01350993986689 1.15450787915967 0.653560836337177 0.681616130775065
Altai Armenia 0.882352941176471 0.333333333333333 0.982683982683983 0.649350649350649 4426.41903216734 1.31275022710651 1.23463616400596 0.927773630514769 0.991586353394078
Altai Central Yakutia 0.684210526315789 0.304347826086957 0.894039735099338 0.589691909012381 4945.1196141866 0.746072409018419 0.993295143529835 0.657610555786771 0.895348355629468
Altai Dzhungarsky Alatau 0.617647058823529 0.2 0.765853658536585 0.565853658536585 443.95918030376 0.708213781122222 0.897382949765777 0.552213856439987 0.944230235445017
Altai Kabarda 0.806451612903226 0.4 0.965909090909091 0.565909090909091 4589.61433461081 1.1920274970765 1.36708048615767 0.861839771448433 0.945571358999724
Altai Kamchatka 0.80952380952381 0.5 0.983333333333333 0.483333333333333 8257.15064928682 0.989504563915881 1.22992963977643 0.844707864753488 0.928295681335366
Altai Khabarovsk 0.796610169491526 0.555555555555556 0.975 0.419444444444445 5655.72138055754 0.951887266287724 1.10580364064255 0.629580206354678 0.738605071357561
Altai Kostroma 0.441176470588235 0.3125 0.719148936170213 0.406648936170213 4583.11496263527 0.418255912939055 0.964902070700015 0.811522785311716 1.42808216976196
Altai Krasnojarsk 0.525423728813559 0.55 0.875 0.325 1430.32455315496 0.512835464793585 0.814226371559329 0.524206258661122 1.02500518344582
Altai Kurgan 0.415384615384615 0.296296296296296 0.643192488262911 0.346896191966614 2199.00189184598 0.450297846705834 0.988174282881176 0.568670441696911 1.16138223540052
Altai Kursk 0.642857142857143 0.176470588235294 0.83030303030303 0.653832442067736 5370.49104440271 0.666970588767344 0.953051361965899 0.939369142070224 1.33172759470321
Altai Kustanai 0.636363636363636 0.388888888888889 0.875 0.486111111111111 2212.38050955529 0.730565045282794 1.04557692251576 0.783549308628705 1.04828637927193
Altai Middle Ural 0.591836734693878 0.212121212121212 0.825503355704698 0.613382143583486 2360.39620173511 0.605302850901833 0.961036390458465 0.633985484147242 0.939310644140105
Altai Mongolia-NorthWestern Khangay 0.8 0.5 0.972093023255814 0.472093023255814 1319.58582495464 1.49057856423345 1.54284027197016 1.00174508540064 1.1683893585192
Altai Moscow 0.476923076923077 0.263157894736842 0.72 0.456842105263158 5204.83022292304 0.442937638171193 0.894111720027388 0.826165672882285 1.40004855980149
Altai Nakhichevan 0.803921568627451 0.428571428571429 0.968503937007874 0.539932508436445 4406.29866664969 0.878533586396933 0.973237170988769 0.617353657527166 0.77796599119277
Altai North Kyrgyzstan 0.851851851851852 0.6 0.978609625668449 0.378609625668449 1100.36732994613 1.35536147209247 1.28749456318361 0.952166949287058 1.08858891777028
Altai North Russian Far East 0.672131147540984 0.142857142857143 0.962264150943396 0.819407008086253 8515.08398913299 0.742810260326181 1.1205004832075 0.818907941133655 0.928761445432073
Altai Novosibirsk 0.431818181818182 0.280487804878049 0.581560283687943 0.301072478809894 530.213493151366 0.517155385794302 1.24427158420964 0.719314375176278 1.21884710756034
Altai Pavlodar 0.76271186440678 0.666666666666667 0.985714285714286 0.319047619047619 899.465473524749 1.14803015651442 1.4546775503867 0.944525703068467 0.985071196663602
Altai Poland 0.620253164556962 0.230769230769231 0.836601307189542 0.605832076420312 7237.29249222961 0.726550306670827 1.06472644941216 0.850853291107893 1.12755354837875
