"","i","j","S","OS","WN","ST","sp","hpcd","hpcdp","ppcd","ppcdp"
"63","Akmolinsk","Kamchatka",0.923076923076923,NA,1,NA,10049.6272450223,1.08877890516115,1.15223970259117,1.03489963879934,1.04778148459768
"64","Akmolinsk","Khabarovsk",0.942028985507246,NA,1,NA,7450.48245091685,1.04293231767944,0.965358839504937,0.912512536115158,0.89210178575351
"65","Akmolinsk","Khasan",1,NA,1,NA,6945.43419811741,0.971263750357545,0.908443960539235,0.947760529582798,0.887238349423187
"66","Akmolinsk","Kostroma",0.615384615384615,0.392857142857143,0.847533632286996,0.454676489429853,2814.21342170261,0.961874231497339,1.30710417999225,1.07324310038582,1.59328609862155
"67","Akmolinsk","Krasnojarsk",0.768115942028986,0.5,0.96969696969697,0.46969696969697,3222.59398589515,0.831380789144037,0.879178462971937,0.636720700937194,0.801957487716993
"68","Akmolinsk","Kurgan",0.44,0.443298969072165,0.731343283582089,0.288044314509925,441.889998365077,0.600192599831754,0.974968511572427,0.299457800790778,0.739052113886573
"69","Akmolinsk","Kursk",0.606060606060606,0.513513513513514,0.882352941176471,0.368839427662957,3575.5738986832,0.860098502960094,1.39463906017166,1.04035599630961,1.47679802402974
"70","Akmolinsk","Kustanai",0.210526315789474,0.301587301587302,0.463414634146341,0.16182733255904,422.84236754897,0.266401599050982,1.2982491149344,0.267335556556095,1.01013718101635
"71","Akmolinsk","Middle Ural",0.627118644067797,0.352941176470588,0.839416058394161,0.486474881923572,615.31878896773,0.850682831438195,1.21709264604891,0.78722217446684,1.18582540231883
"72","Akmolinsk","Mongolia-Central Khangay",0.768115942028986,NA,1,NA,3423.89566149695,0.863930082975621,0.791959709121123,1.02685329482162,1.44188807600388
"73","Akmolinsk","Mongolia-NorthWestern Khangay",0.78,1,1,0,3114.56195794008,1.03271730017733,0.988976174859898,1.38645583847527,1.64669198207031
"74","Akmolinsk","Moscow",0.653333333333333,0.375,0.873949579831933,0.498949579831933,3417.59966223556,0.969168935196433,1.31701705361404,0.767488581326569,1.03570845835464
